Date,Ticker,Open,High,Low,Close,Volume
2023-06-30,BAC,26.6546188626,26.8065888734,26.4059406631,26.4243612705,50478950
2023-06-30,BAX,42.3618041595,42.9914050643,42.2114517047,42.8128615241,4265610
2023-06-30,BMY,55.333201534,55.445107511,55.0405243635,55.0491325156,8397821
2023-06-30,BP,30.2094398281,30.2179519273,29.9625889532,30.0391978454,6768957
2023-06-30,BRK-B,338.78,342.5,338.4,341.0,4522066
2023-06-30,BROS,28.37,28.82,28.27,28.45,365446
2023-06-30,BTI,26.264989557,26.3565010591,26.1556511389,26.3046049259,2833457
2023-06-30,BUD,53.8241990165,54.1101936978,53.6716685199,54.0720610737,1524522
2023-06-30,C,42.405883543,42.4240134633,41.7260115323,41.7350764925,15228242
2023-06-30,CAG,27.8861240506,28.2286438487,27.794228495,28.1701648588,4048661
2023-06-30,CANE,12.65,12.81,12.63,12.76,84640
2023-06-30,CAT,235.6571686658,236.0054408492,233.095781587,235.1601831132,2377993
2023-06-30,CAVA,43.7,44.5,40.29,40.95,1947364
2023-06-30,CB,182.6114283182,185.3103086294,181.9823298827,184.9453354913,2117937
2023-06-30,CCJ,30.8070020515,31.2344628738,30.7175335073,31.1449943296,4091465
2023-06-30,CEG,90.1931157371,90.4282743224,89.2034900239,89.7032020177,2667050
2023-06-30,CLF,16.96,17.03,16.65,16.76,5686208
2023-06-30,CMG,42.5,42.8833,42.301,42.78,13656750
2023-06-30,CNR,66.6521085789,68.3265612844,66.5187450891,66.9879869977,556571
2023-06-30,COF,105.1761013277,105.6714062787,103.5663602369,104.1759663305,2212868
2023-06-30,CORN,23.53,23.72,22.14,22.19,250095
2023-06-30,CPB,39.5867772506,39.812244109,39.5217387338,39.6388080641,2529494
2023-06-30,CRM,208.1981790994,210.1537836326,207.3156019983,207.6085495919,5984203
2023-06-30,CRSP,57.72,58.0,55.83,56.14,1099296
2023-06-30,CRWD,36.2725,37.33,36.2175,36.7175,12370696
2023-06-30,CSCO,47.7357483994,48.0853934339,47.4045057351,47.6069318077,18188309
2023-06-30,CVX,138.8236166136,139.2291727145,138.0698112523,138.7266358069,6346777
2023-06-30,DAL,45.1415617837,46.1866397414,44.9867354196,46.002783434,13335735
2023-06-30,DEO,157.534204521,157.9435023964,157.1249066455,157.7888787546,515706
2023-06-30,DIS,86.4561045362,86.8632761431,85.8986672172,86.5530501569,12837549
2023-06-30,DOW,45.0645675744,45.0729782813,44.5683358673,44.7954249536,4158062
2023-06-30,ECH,26.9611455355,27.1604800021,26.9426027944,27.0538592409,248941
2023-06-30,EEM,36.8264361894,36.9753803196,36.7380006121,36.8264361894,23366918
2023-06-30,EMLC,21.0622778462,21.1076884805,21.0292519303,21.103560241,536177
2023-06-30,EPD,21.3938305714,21.4830053104,21.3532965991,21.3614033935,3727489
2023-06-30,ETN,192.1746310784,194.622378619,191.5687053611,193.4153361186,1745596
2023-06-30,EWU,28.732662371,28.839442163,28.710416581,28.786052267,1672363
2023-06-30,EWY,58.9521594107,59.1149592828,58.7940109635,58.9614622605,3602729
2023-06-30,EWZ,27.2116022493,27.4088485951,27.1024872496,27.2199957109,37303754
2023-06-30,FCG,21.5576663739,21.6684552375,21.2899266203,21.4930395368,208723
2023-06-30,FCX,38.3293205361,38.502191438,37.8779354032,38.415755987,12637559
2023-06-30,FDNI,22.4111490381,22.4111490381,22.1956515744,22.1956515744,443
2023-06-30,FIW,86.5313872217,86.9230205651,86.2670347149,86.7174130598,45280
2023-06-30,FLR,30.0,30.0,29.545,29.6,1014256
2023-06-30,FNV,135.3172083134,138.5492145082,134.7348648548,138.4036286436,542617
2023-06-30,FQVLF,22.8151915187,23.673130509,22.8151915187,23.5933222308,33514
2023-06-30,FWONK,74.1199606686,74.6312684366,73.6578171091,74.0216322517,1160007
2023-06-30,FXI,25.1785439062,25.3175494854,25.104314927,25.1970779834,19670846
2023-06-30,GDX,28.70444674,29.1004367522,28.4919642944,29.0811201662,20732294
2023-06-30,GDXJ,33.4108930945,33.7707609906,32.9657933282,33.7707609906,4751235
2023-06-30,GIS,67.2953954728,67.7882321753,67.2338018839,67.4889753238,4125997
2023-06-30,GLD,177.69,178.53,177.32,178.27,6420904
2023-06-30,GLRE,10.5,10.62,10.5,10.535,169864
2023-06-30,GM,37.1532071508,37.6865995793,36.8545073909,37.3956582547,11613686
2023-06-30,GNRC,148.63,150.49,146.0,149.13,1123203
2023-06-30,GOOG,120.0355716118,120.9573972236,119.817505338,119.9067142682,23871764
2023-06-30,GRBK,57.04,57.53,56.51,56.8,513805
2023-06-30,GS,303.8500182056,304.0458579448,300.7072566767,300.7911879935,2361843
2023-06-30,GSK,31.3611489088,31.7348136617,31.3611489088,31.7081233223,4969969
2023-06-30,GTBIF,7.45,7.65,7.45,7.62,165695
2023-06-30,GUSH,28.5674960148,28.819974703,27.894219513,28.38281253,963056
2023-06-30,H,111.6176576107,113.4445413281,111.6176576107,113.1482899145,457197
2023-06-30,HD,286.8180007937,288.5319787686,285.63211333,287.8000638496,3230714
2023-06-30,HGRAF,0.0915,0.0929,0.0875,0.09,239931
2023-06-30,HL,5.0860128152,5.1057643213,5.03663405,5.0860128152,4561662
2023-06-30,HON,192.5041610424,193.2642776315,191.7069655953,192.3465758959,3045017
2023-06-30,IBM,122.2180622878,122.5265791872,121.0701979415,121.41954796,4236677
2023-06-30,IMPUY,6.447994167,6.5917087473,6.3617654189,6.5629658312,271767
2023-06-30,INDL,45.3852974289,45.6505029561,45.1674669513,45.4610975082,24938
2023-06-30,INTC,32.6870522242,32.8840034967,32.492060666,32.7664206475,33811252
2023-06-30,ITUB,4.1004799012,4.128279765,4.0726800375,4.1004799012,18446871
2023-06-30,JPM,135.0148621722,136.3220600079,134.1371721968,135.7991808736,14212816
2023-06-30,KHC,29.9905995726,30.2971474387,29.965053917,30.2290256907,8907876
2023-06-30,KMI,14.5850039194,14.6187264718,14.4458983907,14.5175588146,11340270
2023-06-30,KO,54.929531747,55.2499540155,54.8105177616,55.1309400301,19739193
2023-06-30,KR,43.4149305207,44.1453801714,43.3962010425,44.0142738238,5264673
2023-06-30,KRE,38.4214665215,38.4214665215,37.5248430208,37.547833367,17853596
2023-06-30,KWEB,24.158844796,24.3471654124,23.9615565311,24.1498771476,10034991
2023-06-30,LLY,454.911439141,460.0220335934,454.2750624371,459.1506870297,3173216
2023-06-30,LMT,423.6949494754,426.8594684125,421.434578806,424.7467137868,982764
2023-06-30,LULU,375.37,380.3652,374.76,378.5,1477729
2023-06-30,LUV,33.7277195916,33.9525710555,33.6340314816,33.9244646225,7172233
2023-06-30,LVS,54.5315855944,55.2211414143,54.2105170695,54.7866267881,6066985
2023-06-30,LYB,75.0108681508,75.4290529208,74.2072974163,75.2978576988,1521961
2023-06-30,MA,381.3519380772,388.2990089409,381.3519380772,386.4615234366,4407142
2023-06-30,MAR,177.1675123221,179.6747372784,177.0411792817,178.5085861359,1696080
2023-06-30,MCD,274.9922954996,278.6819664699,274.7593617262,278.0390692554,2644801
2023-06-30,MCK,415.8292833617,423.9180038541,415.8292833617,421.511116293,880318
2023-06-30,MELI,1188.0,1212.6,1173.26,1184.6,489624
